Trace,Exp,Core_0_IPC,Filter
459.GemsFDTD-765B,spp_MTPS150,0.4213,1
459.GemsFDTD-765B,bingo_MTPS150,0.36521,1
459.GemsFDTD-765B,mlop_MTPS150,0.4022,1
459.GemsFDTD-765B,pythia_MTPS150,0.4022,1
459.GemsFDTD-765B,nopref_MTPS300,0.47213,1
459.GemsFDTD-765B,spp_MTPS300,0.66077,1
459.GemsFDTD-765B,bingo_MTPS300,0.51898,1
459.GemsFDTD-765B,mlop_MTPS300,0.63302,1
459.GemsFDTD-765B,pythia_MTPS300,0.66757,1
459.GemsFDTD-765B,nopref_MTPS600,0.50703,1
459.GemsFDTD-765B,spp_MTPS600,0.69395,1
459.GemsFDTD-765B,bingo_MTPS600,0.6188,1
459.GemsFDTD-765B,mlop_MTPS600,0.69175,1
459.GemsFDTD-765B,pythia_MTPS600,0.70854,1
459.GemsFDTD-765B,nopref_MTPS1200,0.51143,1
459.GemsFDTD-765B,spp_MTPS1200,0.70338,1
459.GemsFDTD-765B,bingo_MTPS1200,0.66859,1
459.GemsFDTD-765B,mlop_MTPS1200,0.71387,1
459.GemsFDTD-765B,pythia_MTPS1200,0.71785,1
459.GemsFDTD-765B,nopref_MTPS4800,0.51237,1
459.GemsFDTD-765B,spp_MTPS4800,0.70577,1
459.GemsFDTD-765B,bingo_MTPS4800,0.69482,1
459.GemsFDTD-765B,mlop_MTPS4800,0.72243,1
459.GemsFDTD-765B,pythia_MTPS4800,0.71972,1
459.GemsFDTD-765B,nopref_MTPS9600,0.51241,1
459.GemsFDTD-765B,spp_MTPS9600,0.70585,1
459.GemsFDTD-765B,bingo_MTPS9600,0.69502,1
