Trace,Exp,Core_0_IPC,Core_1_IPC,Core_2_IPC,Core_3_IPC,Filter
ligra_Components.com-lj.ungraph.gcc_6.3.0_O3.drop_3500M.length_250M_4T,bingo,0,0,0,0,0
ligra_Components.com-lj.ungraph.gcc_6.3.0_O3.drop_3500M.length_250M_4T,mlop,0,0,0,0,0
ligra_Components.com-lj.ungraph.gcc_6.3.0_O3.drop_3500M.length_250M_4T,pythia,0,0,0,0,0
ligra_Components.com-lj.ungraph.gcc_6.3.0_O3.drop_750M.length_250M_4T,nopref,0,0,0,0,0
ligra_Components.com-lj.ungraph.gcc_6.3.0_O3.drop_750M.length_250M_4T,spp,0,0,0,0,0
ligra_Components.com-lj.ungraph.gcc_6.3.0_O3.drop_750M.length_250M_4T,bingo,0,0,0,0,0
ligra_Components.com-lj.ungraph.gcc_6.3.0_O3.drop_750M.length_250M_4T,mlop,0,0,0,0,0
ligra_Components.com-lj.ungraph.gcc_6.3.0_O3.drop_750M.length_250M_4T,pythia,0,0,0,0,0
ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_22000M.length_250M_4T,nopref,0,0,0,0,0
ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_22000M.length_250M_4T,spp,0,0,0,0,0
ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_22000M.length_250M_4T,bingo,0,0,0,0,0
ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_22000M.length_250M_4T,mlop,0,0,0,0,0
ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_22000M.length_250M_4T,pythia,0,0,0,0,0
ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_750M.length_250M_4T,nopref,0,0,0,0,0
ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_750M.length_250M_4T,spp,0,0,0,0,0
ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_750M.length_250M_4T,bingo,0,0,0,0,0
ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_750M.length_250M_4T,mlop,0,0,0,0,0
ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_750M.length_250M_4T,pythia,0,0,0,0,0
ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_21250M.length_250M_4T,nopref,0,0,0,0,0
ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_21250M.length_250M_4T,spp,0,0,0,0,0
ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_21250M.length_250M_4T,bingo,0,0,0,0,0
ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_21250M.length_250M_4T,mlop,0,0,0,0,0
